Months_beginning_Jan_1871,Monthly_years,Monthly_nom_gov_bond_rate,Monthly_nom_margin_rate,Monthly_nom_stock_return,Monthly_CPI,Fed_funds_rate
278,1894.02,0.00274453,0.000829538,0.034309361,6.755342479,
279,1894.03,0.004201451,0.0009327,0.017738359,6.565052397,
280,1894.04,0.00225951,0.0009327,-0.032882932,6.565052397,
281,1894.05,0.004178879,0.0009327,-0.009217803,6.565052397,
282,1894.06,0.001937179,0.000829538,-0.016321045,6.565052397,
283,1894.07,0.003543347,0.000829538,0.042092157,6.565052397,
284,1894.08,0.004170142,0.000829538,0.020092593,6.755342479,
285,1894.09,0.003200341,0.000829538,-0.027157738,6.850483471,
286,1894.1,0.003188949,0.000829538,0.004160906,6.660193388,
287,1894.11,0.003669257,0.0009327,-0.005120968,6.660193388,
288,1894.12,-0.002702067,0.001344184,-0.00755814,6.565052397,
289,1895.01,0.017099796,0.0009327,-0.010033333,6.565052397,
290,1895.02,0.004990803,0.001035746,0.004110979,6.565052397,
291,1895.03,0.005661461,0.002059836,0.047036595,6.565052397,
292,1895.04,0.005157846,0.001446765,0.05879672,6.850483471,
293,1895.05,0.006479385,0.001035746,0.023168836,6.945632562,
294,1895.06,0.00253237,0.001035746,0.007801418,7.040773554,
295,1895.07,-0.001081493,0.001035746,0.018331568,6.945632562,
296,1895.08,0.003563429,0.000829538,0.009685108,6.850483471,
297,1895.09,0.003403983,0.001446765,-0.011151452,6.850483471,
298,1895.1,-0.000979651,0.001753817,-0.030292982,6.850483471,
299,1895.11,0.000721495,0.001651581,-0.055343137,6.850483471,
300,1895.12,-0.006962743,0.00797414,-0.007908951,6.755342479,
301,1896.01,0.001300105,0.00327374,0.045846995,6.660193388,
302,1896.02,0.0061132,0.003072542,-0.01220412,6.565052397,
303,1896.03,0.005417179,0.002668809,0.012699772,6.565052397,
304,1896.04,0.000987139,0.00226328,-0.001004902,6.469903306,
305,1896.05,0.003285485,0.001651581,-0.014662879,6.374754215,
306,1896.06,-0.003513324,0.001446765,-0.061246142,6.279613223,
307,1896.07,-0.003229196,0.001446765,-0.053131188,6.279613223,
308,1896.08,0.010969558,0.004867551,0.056502625,6.279613223,
309,1896.09,0.005962646,0.003874685,0.026236492,6.279613223,
310,1896.1,0.009295637,0.018769265,0.071985772,6.469903306,
311,1896.11,0.003358333,0.002059836,-0.033089802,6.660193388,
312,1896.12,0.008231668,0.001651581,0.003554502,6.660193388,
313,1897.01,0.003974646,0.001344184,-0.005924171,6.469903306,
314,1897.02,0.004376278,0.001344184,0.005980861,6.469903306,
315,1897.03,0.004192764,0.001344184,-0.027446301,6.469903306,
316,1897.04,5.10E-05,0.001138675,0.00862069,6.374754215,
317,1897.05,0.006414799,0.001138675,0.050245098,6.279613223,
318,1897.06,0.00535353,0.0009327,0.048009368,6.279613223,
319,1897.07,0.001694696,0.0009327,0.06838565,6.279613223,
320,1897.08,0.002902985,0.001138675,0.051578947,6.565052397,
321,1897.09,0.006091359,0.002668809,-0.029116466,6.755342479,
322,1897.1,0.004553641,0.001651581,-0.032157676,6.660193388,
