Date,Open,High,Low,Close
6/21/1929,26.62,26.62,26.62,26.62
6/22/1929,26.72,26.72,26.72,26.72
6/24/1929,26.62,26.62,26.62,26.62
6/25/1929,26.9,26.9,26.9,26.9
6/26/1929,27.06,27.06,27.06,27.06
6/27/1929,27.11,27.11,27.11,27.11
6/28/1929,27.41,27.41,27.41,27.41
6/29/1929,27.62,27.62,27.62,27.62
7/1/1929,27.77,27.77,27.77,27.77
7/2/1929,28.06,28.06,28.06,28.06
7/3/1929,28.18,28.18,28.18,28.18
7/5/1929,28.32,28.32,28.32,28.32
7/6/1929,28.36,28.36,28.36,28.36
7/8/1929,28.37,28.37,28.37,28.37
7/9/1929,28.28,28.28,28.28,28.28
7/10/1929,28.2,28.2,28.2,28.2
7/11/1929,28.26,28.26,28.26,28.26
7/12/1929,28.57,28.57,28.57,28.57
7/13/1929,28.64,28.64,28.64,28.64
7/15/1929,28.45,28.45,28.45,28.45
7/16/1929,28.65,28.65,28.65,28.65
7/17/1929,28.72,28.72,28.72,28.72
7/18/1929,28.66,28.66,28.66,28.66
7/19/1929,28.76,28.76,28.76,28.76
7/20/1929,28.81,28.81,28.81,28.81
7/22/1929,28.43,28.43,28.43,28.43
7/23/1929,28.83,28.83,28.83,28.83
7/24/1929,28.64,28.64,28.64,28.64
7/25/1929,28.77,28.77,28.77,28.77
7/26/1929,28.66,28.66,28.66,28.66
7/27/1929,28.55,28.55,28.55,28.55
7/29/1929,28.18,28.18,28.18,28.18
7/30/1929,28.5,28.5,28.5,28.5
7/31/1929,28.88,28.88,28.88,28.88
8/1/1929,29.08,29.08,29.08,29.08
8/2/1929,29.56,29.56,29.56,29.56
8/3/1929,29.81,29.81,29.81,29.81
8/5/1929,29.54,29.54,29.54,29.54
8/6/1929,29.43,29.43,29.43,29.43
8/7/1929,29.13,29.13,29.13,29.13
8/8/1929,29.47,29.47,29.47,29.47
8/9/1929,28.38,28.38,28.38,28.38
8/10/1929,28.83,28.83,28.83,28.83
8/12/1929,29.27,29.27,29.27,29.27
8/13/1929,29.53,29.53,29.53,29.53
8/14/1929,29.62,29.62,29.62,29.62
8/15/1929,29.67,29.67,29.67,29.67
8/16/1929,30.22,30.22,30.22,30.22
8/17/1929,30.24,30.24,30.24,30.24
8/19/1929,30.5,30.5,30.5,30.5
8/20/1929,30.68,30.68,30.68,30.68
8/21/1929,30.55,30.55,30.55,30.55
8/22/1929,30.79,30.79,30.79,30.79
8/23/1929,31.09,31.09,31.09,31.09
8/24/1929,31.15,31.15,31.15,31.15
8/26/1929,31.07,31.07,31.07,31.07
8/27/1929,31.05,31.05,31.05,31.05
8/28/1929,30.99,30.99,30.99,30.99
8/29/1929,31.29,31.29,31.29,31.29
8/30/1929,31.71,31.71,31.71,31.71
9/3/1929,31.82,31.82,31.82,31.82
9/4/1929,31.72,31.72,31.72,31.72
9/5/1929,31.02,31.02,31.02,31.02
9/6/1929,31.83,31.83,31.83,31.83
9/7/1929,31.92,31.92,31.92,31.92
9/9/1929,31.67,31.67,31.67,31.67
9/10/1929,31.1,31.1,31.1,31.1
9/11/1929,31.53,31.53,31.53,31.53
9/12/1929,31.17,31.17,31.17,31.17
9/13/1929,31.38,31.38,31.38,31.38
9/14/1929,31.47,31.47,31.47,31.47
9/16/1929,31.86,31.86,31.86,31.86
9/17/1929,31.6,31.6,31.6,31.6
9/18/1929,31.68,31.68,31.68,31.68
9/19/1929,31.73,31.73,31.73,31.73
9/20/1929,31.39,31.39,31.39,31.39
9/21/1929,31.39,31.39,31.39,31.39
9/23/1929,31.38,31.38,31.38,31.38
9/24/1929,30.8,30.8,30.8,30.8
9/25/1929,30.85,30.85,30.85,30.85
9/26/1929,31.13,31.13,31.13,31.13
9/27/1929,30.27,30.27,30.27,30.27
9/28/1929,30.44,30.44,30.44,30.44
9/30/1929,30.16,30.16,30.16,30.16
10/1/1929,29.98,29.98,29.98,29.98
10/2/1929,30.2,30.2,30.2,30.2
10/3/1929,28.95,28.95,28.95,28.95
10/4/1929,28.65,28.65,28.65,28.65
10/5/1929,29.98,29.98,29.98,29.98
10/7/1929,30.44,30.44,30.44,30.44
10/8/1929,30.34,30.34,30.34,30.34
10/9/1929,30.27,30.27,30.27,30.27
10/10/1929,30.81,30.81,30.81,30.81
10/11/1929,30.76,30.76,30.76,30.76
10/14/1929,30.55,30.55,30.55,30.55
10/15/1929,30.3,30.3,30.3,30.3
10/16/1929,29.24,29.24,29.24,29.24
10/17/1929,29.69,29.69,29.69,29.69
10/18/1929,28.84,28.84,28.84,28.84
10/19/1929,28.01,28.01,28.01,28.01
10/21/1929,27.73,27.73,27.73,27.73
10/22/1929,28.27,28.27,28.27,28.27
10/23/1929,26.6,26.6,26.6,26.6
10/24/1929,25.75,25.75,25.75,25.75
10/25/1929,26.12,26.12,26.12,26.12
10/26/1929,25.94,25.94,25.94,25.94
10/28/1929,22.74,22.74,22.74,22.74
10/29/1929,20.43,20.43,20.43,20.43
10/30/1929,22.99,22.99,22.99,22.99
10/31/1929,24.15,24.15,24.15,24.15
11/4/1929,22.8,22.8,22.8,22.8
11/6/1929,20.61,20.61,20.61,20.61
11/7/1929,21.37,21.37,21.37,21.37
11/8/1929,21.18,21.18,21.18,21.18
11/11/1929,19.86,19.86,19.86,19.86
11/12/1929,18.73,18.73,18.73,18.73
11/13/1929,17.66,17.66,17.66,17.66
11/14/1929,19.24,19.24,19.24,19.24
11/15/1929,20.3,20.3,20.3,20.3
11/18/1929,20.09,20.09,20.09,20.09
11/19/1929,20.7,20.7,20.7,20.7
11/20/1929,21.27,21.27,21.27,21.27
11/21/1929,21.61,21.61,21.61,21.61
11/22/1929,21.53,21.53,21.53,21.53
11/25/1929,21.28,21.28,21.28,21.28
11/26/1929,20.66,20.66,20.66,20.66
11/27/1929,20.92,20.92,20.92,20.92
12/2/1929,20.95,20.95,20.95,20.95
12/3/1929,21.65,21.65,21.65,21.65
12/4/1929,22.05,22.05,22.05,22.05
12/5/1929,21.87,21.87,21.87,21.87
12/6/1929,22.45,22.45,22.45,22.45
12/7/1929,22.73,22.73,22.73,22.73
12/9/1929,22.4,22.4,22.4,22.4
12/10/1929,22.57,22.57,22.57,22.57
12/11/1929,22.38,22.38,22.38,22.38
12/12/1929,21.17,21.17,21.17,21.17
12/13/1929,21.7,21.7,21.7,21.7
12/14/1929,21.96,21.96,21.96,21.96
12/16/1929,21.33,21.33,21.33,21.33
12/17/1929,21.56,21.56,21.56,21.56
12/18/1929,21.42,21.42,21.42,21.42
12/19/1929,20.85,20.85,20.85,20.85
12/20/1929,20.16,20.16,20.16,20.16
12/21/1929,20.55,20.55,20.55,20.55
12/23/1929,20.26,20.26,20.26,20.26
12/24/1929,20.39,20.39,20.39,20.39
12/26/1929,20.84,20.84,20.84,20.84
12/27/1929,20.82,20.82,20.82,20.82
12/28/1929,20.66,20.66,20.66,20.66
12/30/1929,20.89,20.89,20.89,20.89
12/31/1929,21.45,21.45,21.45,21.45
1/2/1930,21.1839,21.8262,20.9446,21.1839
1/3/1930,21.1839,21.5239,21.0453,21.2342
